article_of_item_id,name,where_to_buy,price,created_at,updated_at
1,ヴィーガンマフィン,べジェヴリーカフェ,450円,2024-05-01 17:10:11,2024-05-01 17:10:11
2,ヴィーガンチョコレート,ヴィーガンデリ,450円,2024-05-01 17:10:11,2024-05-01 17:10:11
3,植物性チーズのピザ,プラントベースピッツェリア,600円,2024-05-01 17:10:11,2024-05-01 17:10:11
4,ヴィーガンバーガー,バーガーストア,500円,2024-05-01 17:10:11,2024-05-01 17:10:11
5,スパイシーカレー,ABCスーパー,700円,2024-05-01 17:10:11,2024-05-01 17:10:11
6,グルテンフリークッキー,ABCスーパー,300円,2024-05-01 17:10:11,2024-05-01 17:10:11
7,ヘルシークッキー,ヘルシーベーカリー,350円,2024-05-01 17:10:11,2024-05-01 17:10:11
8,ミニマフィンズ,スイートミニマフィンショップ,400円,2024-05-01 17:10:11,2024-05-01 17:10:11
9,オリエンタル・スパイシーカレー,オリエンタルスパイスマーケット,750円,2024-05-01 17:10:11,2024-05-01 17:10:11
10,冷凍のヴィーガンピザ,ピザパラダイス,800円,2024-05-01 17:10:11,2024-05-01 17:10:11
11,無添加ヴィーガンポテチ,空港スナックショップ,250円,2024-05-01 17:10:11,2024-05-01 17:10:11
12,フルーツグラノーラバー,フルーツマーケット,500円,2024-05-01 17:10:11,2024-05-01 17:10:11
13,豆乳ソフトクリーム,ビーガンスイーツパラダイス,350円,2024-05-01 17:10:11,2024-05-01 17:10:11
14,アーモンドミルク,ヘルシードリンクマーケット,200円,2024-05-01 17:10:11,2024-05-01 17:10:11
15,グルテンフリーマフィン,グルテンフリーベーカリー,400円,2024-05-01 17:10:11,2024-05-01 17:10:11
16,ヴィーガンチョコレート,チョコレートコレクションストア,300円,2024-05-01 17:10:11,2024-05-01 17:10:11
17,植物性チーズの冷凍ピザ,ヴィーガンピザパラダイス,800円,2024-05-01 17:10:11,2024-05-01 17:10:11
18,大豆ミートのレトルトカレー,カレーラバーズマーケット,600円,2024-05-01 17:10:11,2024-05-01 17:10:11
19,ベジおやつ,スーパーマーケット,200円,2024-05-01 17:10:11,2024-05-01 17:10:11
20,グラノーラバー,ヘルシーモーニングショップ,250円,2024-05-01 17:10:11,2024-05-01 17:10:11
21,無添加ポテトチップス,ナチュラルスナックストア,350円,2024-05-01 17:10:11,2024-05-01 17:10:11
22,ワンランク上のポテトチップス,デパ地下グルメ,500円,2024-05-01 17:10:11,2024-05-01 17:10:11
23,スパイシーナッツミックス,ナッツラバーズストア,400円,2024-05-01 17:10:11,2024-05-01 17:10:11
24,ナッツグラノーラバー,ヘルシースナックショップ,300円,2024-05-01 17:10:11,2024-05-01 17:10:11
25,ポテトミルク,トレンドフードマーケット,350円,2024-05-01 17:10:11,2024-05-01 17:10:11
26,さつまいもチップス,スナックラバーズストア,250円,2024-05-01 17:10:11,2024-05-01 17:10:11
