id,title,thumbnail_path,thumbnail_url,number_of_likes,user_id,vegan,oriental_vegetarian,ovo_vegetarian,pescatarian,lacto_vegetarian,pollo_vegetarian,fruitarian,other_vegetarian
1,"べジェヴリーカフェのヴィーガンマフィンがヤバい！","/items/thumbnail/muffin.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/muffin.jpeg",32,1,1,0,0,0,0,0,0,0
2,"リピ確定！ヴィーガンチョコレート","/items/thumbnail/chocolate.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chocolate.jpg",30,2,1,0,0,0,0,0,0,0
3,"チーズ好きにはたまらない、植物性チーズのピザを発見！","/items/thumbnail/pizza.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/pizza.jpg",15,3,0,0,0,0,0,0,1,0
4,"新定番のヴィーガンバーガー","/items/thumbnail/pizza.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/pizza.jpg",6,1,1,0,0,0,0,0,0,0
5,"スパイシーカレー、辛さがクセになる！","/items/thumbnail/curry.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/curry.jpeg",5,2,0,1,0,0,0,0,0,0
6,"おすすめのグルテンフリークッキー","/items/thumbnail/cookie.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/cookie.jpg",1,3,0,0,0,0,0,1,0,0
7,"卵不使用のクッキーを発見！","/items/thumbnail/cookie.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/cookie.jpg",0,1,0,0,0,0,1,0,0,0
8,"４つ入りのミニマフィンが可愛い","/items/thumbnail/muffin.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/muffin.jpeg",1,2,0,0,0,0,0,1,0,0
9,"オリエンタルベジタリアンのためのレトルトスパイシーカレー","/items/thumbnail/curry.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/curry.jpeg",0,3,0,1,0,0,0,0,0,0
10,"冷凍のヴィーガンピザがおいしかった","/items/thumbnail/pizza.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/pizza.jpg",0,1,0,0,0,0,0,0,1,0
11,"空港に売ってた無添加ヴィーガンポテチ","/items/thumbnail/chips.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chips.jpg",0,2,1,0,0,0,0,0,0,0
12,"フルーツタリアンにもおすすめのフルーツグラノーラバー","/items/thumbnail/granola.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/granola.jpg",0,3,0,1,0,0,0,0,0,0
13,"ビーガン向け、新商品の豆乳ソフトクリームが美味しい！","/items/thumbnail/soft_cream.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/soft_cream.jpg",28,1,1,0,0,0,0,0,0,0
14,"新商品のアーモンドミルクをレポ！","/items/thumbnail/soft_cream.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/soft_cream.jpg",0,1,1,0,0,0,0,0,0,0
15,"おすすめのグルテンフリーマフィン！","/items/thumbnail/muffin.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/muffin.jpeg",10,1,1,0,0,0,0,0,0,0
16,"ヴィーガンチョコレートを集めてみた","/items/thumbnail/chocolate.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chocolate.jpg",0,2,1,0,0,0,0,0,0,0
17,"植物性チーズの冷凍ピザ","/items/thumbnail/pizza.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/pizza.jpg",0,3,0,0,0,0,0,0,1,0
18,"大豆ミートのレトルトカレー","/items/thumbnail/curry.jpeg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/curry.jpeg",2,2,0,1,0,0,0,0,0,0
19,"スーパーで買えるベジおやつ","/items/thumbnail/chocolate.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chocolate.jpg",9,3,0,0,0,0,0,1,0,0
20,"忙しい朝のグラノーラバー","/items/thumbnail/granola.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/granola.jpg",7,2,1,0,0,0,0,0,0,0
21,"おいしい無添加ポテトチップスを見つけました！","/items/thumbnail/chips.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chips.jpg",4,3,0,1,0,0,0,0,0,0
22,"デパ地下で買える、ワンランク上のポテトチップス","/items/thumbnail/chips.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chips.jpg",25,3,0,1,0,0,0,0,0,0
23,"スパイシーナッツミックスがクセになる！","/items/thumbnail/granola.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/granola.jpg",3,2,1,0,0,0,0,0,0,0
24,"小腹がすいた時におすすめ！ナッツグラノーラバー","/items/thumbnail/granola.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/granola.jpg",45,3,0,1,0,0,0,0,0,0
25,"話題のポテトミルクを試してみた","/items/thumbnail/soft_cream.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/soft_cream.jpg",2,1,1,0,0,0,0,0,0,0
26,"最近ハマっているさつまいもチップス","/items/thumbnail/chips.jpg","https://static.vegevery.my-raga-bhakti.com/items/thumbnail/chips.jpg",8,1,1,0,0,0,0,0,0,0
