article_of_item_id,order,image_path,image_url,text,created_at,updated_at
1,1,,,"べジェヴリーカフェのヴィーガンマフィンを試してみました。とても美味しくて、ヤバいと感じました！",2024-05-01 17:10:11,2024-05-01 17:10:11
2,1,,,"リピ確定！ヴィーガンチョコレートは、一度食べたら忘れられない美味しさです。",2024-05-01 17:10:11,2024-05-01 17:10:11
3,1,,,"チーズ好きにはたまらない、植物性チーズのピザを発見！チーズの風味が豊かで、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
4,1,,,"新定番のヴィーガンバーガーを試してみました。ヴィーガンでも満足できる美味しさで、これからの定番になること間違いなしです。",2024-05-01 17:10:11,2024-05-01 17:10:11
5,1,,,"スパイシーカレーは、辛さがクセになる美味しさです。スパイスの効いたカレーは、一度食べたら忘れられない味わいです。",2024-05-01 17:10:11,2024-05-01 17:10:11
6,1,,,"グルテンフリーのクッキーは、健康志向の方におすすめです。グルテンフリーでも十分に美味しいことを実感できます。",2024-05-01 17:10:11,2024-05-01 17:10:11
7,1,,,"卵不使用のクッキーは、アレルギーを持つ方でも安心して食べられます。卵を使わなくてもしっとりとした食感と甘さが楽しめます。",2024-05-01 17:10:11,2024-05-01 17:10:11
8,1,,,"４つ入りのミニマフィンは、見た目も可愛く、一つ一つが丁寧に作られています。小さなマフィンなので、いろいろな味を楽しむことができます。",2024-05-01 17:10:11,2024-05-01 17:10:11
9,1,,,"オリエンタルベジタリアンのためのレトルトスパイシーカレーは、手軽に本格的なスパイスカレーを楽しむことができます。辛さとスパイスの香りが絶妙にマッチしています。",2024-05-01 17:10:11,2024-05-01 17:10:11
10,1,,,"冷凍のヴィーガンピザを試してみました。冷凍でも本格的な味が楽しめ、おいしかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
11,1,,,"空港で見つけた無添加のヴィーガンポテチは、素材の味がしっかりと感じられて美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
12,1,,,"フルーツタリアンにもおすすめのフルーツグラノーラバーは、フルーツの甘さとグラノーラの食感が絶妙でした。",2024-05-01 17:10:11,2024-05-01 17:10:11
13,1,,,"新商品の豆乳ソフトクリームは、まろやかな口当たりと豆乳の風味が楽しめ、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
14,1,,,"新商品のアーモンドミルクを試してみました。アーモンドの風味が豊かで、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
15,1,,,"おすすめのグルテンフリーマフィンを試してみました。グルテンフリーでもしっとりとした食感と甘さが楽しめ、美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
16,1,,,"ヴィーガンチョコレートを集めてみました。ビターな味わいとヴィーガンならではの風味が楽しめ、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
17,1,,,"植物性チーズの冷凍ピザを試してみました。チーズの風味が豊かで、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
18,1,,,"大豆ミートのレトルトカレーを試してみました。大豆ミートの食感とスパイスの風味が絶妙で、美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
19,1,,,"スーパーで買えるベジおやつを集めてみました。ベジタリアンでも楽しめるおやつのバリエーションが豊富で、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
20,1,,,"忙しい朝のグラノーラバーを試してみました。手軽に食べられて栄養満点、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
21,1,,,"おいしい無添加ポテトチップスを見つけました！シンプルな味わいがクセになります。",2024-05-01 17:10:11,2024-05-01 17:10:11
22,1,,,"デパ地下で買える、ワンランク上のポテトチップスを試してみました。高級感あふれる味わいで、特別な日のおやつにぴったりです。",2024-05-01 17:10:11,2024-05-01 17:10:11
23,1,,,"スパイシーナッツミックスがクセになる！ピリッとしたスパイスが効いていて、ついつい手が伸びます。",2024-05-01 17:10:11,2024-05-01 17:10:11
24,1,,,"小腹がすいた時におすすめ！ナッツグラノーラバーを試してみました。ナッツの風味とグラノーラの食感が絶妙で、とても美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
25,1,,,"話題のポテトミルクを試してみました。ポテトの自然な甘さとミルクのまろやかさが絶妙にマッチしていて、美味しかったです。",2024-05-01 17:10:11,2024-05-01 17:10:11
26,1,,,"最近ハマっているさつまいもチップスを試してみました。さつまいもの自然な甘さと、パリッとした食感がクセになります。",2024-05-01 17:10:11,2024-05-01 17:10:11
